Process Time [min],Average emission wavelength [nm],Integral,Max emission wavelength [nm],diff_AEW_raw,diff_AEW_sgol,diff_AEW_loess,AEW_adapted,dAEW_adapted
1.16667,336.4399734481878,153673.143,326,3.1824011685930396,2.775182269611938,3.114683350621961,336.4399734481878,0.0
2.75,336.35599359415,151876.4465,326,3.1824011685930396,2.775182269611938,3.114683350621961,336.35599359415,-0.08397985403780694
4.31667,336.2961496064817,150135.3975,324,2.2918925236944565,2.3888385393715432,2.5100418283157624,336.2961496064817,-0.1438238417060802
5.88333,336.2367543525972,148554.7515,325.5,2.2747215305630384,1.9268499879177352,2.019105923108391,336.2367543525972,-0.2032190955906117
7.46667,336.1966403111442,147184.6225,325,1.5201046440928563,1.5250342340531862,1.65897261156293,336.1966403111442,-0.24333313704357806
9.05,336.1612787188517,145913.318,324,1.3400210553402545,1.284376119564497,1.3605336694355836,336.1612787188517,-0.2786947293361095
10.6167,336.1263783918559,144656.213,324.5,1.3365798300553844,1.1990678306137967,1.2430181205438577,336.1263783918559,-0.31359505633190565
12.1833,336.099800279019,143593.5925,323.5,1.0179284885824267,1.1369663658646338,1.2390679254318049,336.099800279019,-0.3401731691687928
13.75,336.0605159506284,142556.7095,325,1.504474183592738,1.0491247866535387,1.1307107744528384,336.0605159506284,-0.37945749755937186
15.3167,336.0417993155564,141708.107,324,0.7167920497371463,0.9472160076322536,0.989122789531397,336.0417993155564,-0.398174132631425
16.9,336.0173456672368,140897.249,325,0.9266840770388302,0.8462083104122823,0.849623046608964,336.0173456672368,-0.42262778095101794
18.4833,335.9984691095293,140119.4025,323.5,0.7153372465409648,0.7522469172131465,0.7834037577112061,335.9984691095293,-0.4415043386584898
20.0667,335.9741092409969,139475.8355,322,0.9230719413576617,0.7003636880177246,0.741780791132554,335.9741092409969,-0.4658642071909185
21.6333,335.9609039330597,138966.6985,323.5,0.5057567191573556,0.6967059025596928,0.7204812792605798,335.9609039330597,-0.479069515128117
