,Process Time [min],x,y,Run
0,0.0,,0.0310733919060849,run_40
19,30.0,0.0033285905149436088,0.022328465004636627,run_40
41,60.0,0.00014230206428013646,0.008163682075546871,run_40
62,90.0,0.0013476996255083824,0.004113136721148335,run_40
82,120.0,-0.00021710636611044405,0.0013562842671161277,run_40
97,150.0,0.0009841063368437846,-0.00033054482627466864,run_40
0,0.0,,0.018054541955744272,run_41
19,30.0,0.00395818050132402,0.02188418668561001,run_41
40,60.0,0.0013258345189726887,0.007546861410016132,run_41
61,90.0,-0.0006422406349294936,0.0030252957278979905,run_41
81,120.0,0.0004960599032116042,0.0020011148176497223,run_41
97,150.0,0.0001236390931175918,0.0006816840333296727,run_41
0,0.0,,0.018502171059543052,run_42
19,30.0,0.0053531022569746406,0.019254895899542764,run_42
39,60.0,0.001470220045061359,0.008014787972498383,run_42
60,90.0,-0.0006304894007814819,0.0031807325734655484,run_42
80,120.0,0.0006885813531081642,0.0004959676326764944,run_42
97,150.0,0.00028367303240413587,-7.79805953596665e-05,run_42
0,0.0,,0.060227765338410275,run_39
19,30.0,0.002867700597828476,0.020296319816215026,run_39
42,60.0,0.0003656620787634434,0.0060737069040755496,run_39
63,90.0,0.0010091591402533026,0.0033011261566840977,run_39
84,120.0,-0.00012751655993183028,0.0018789531560159851,run_39
97,150.0,0.0008401046183259311,0.0005222102799557938,run_39
